Name,Address,Latitude,Longitude
Pur Prahlad Pur Police Station,"Mehrauli – Badarpur Rd, Tughlaqabad Extension, Block A, Pul Pehlad Pur, New Delhi, Delhi, 110044",28.6138954,77.2090057
Amar Colony Police Station,"Kalka Devi Marg, Opp. Indian Oil Petrol Pump, Amar Colony, New Delhi, Delhi, 110065",28.6138954,77.2090057
Sarita Vihar Police Station,Sarita Vihar Police Station,28.5006344,77.3163336
Badar Pur Police Station,"Axis Bank ATM, NH 2, Mathura Rd, Badarpur Extension, Tajpur, Badarpur, Delhi, 110044",28.4962232,77.3100357
Sunlight Colony Police Station,"Dharamvir Mann Marg, Near Jeevan Hospital, Sunlight Colony, New Delhi, Delhi, 110014",28.6138954,77.2090057
Govind Puri Police Station,"Baba Fatehsingh Marg, Kalkaji Extension, Block A 14, Govindpuri, New Delhi, Delhi, 110019",28.53886195,77.26422772314501
Lajpat Nagar Police Station,"15, Feroze Gandhi Rd, Block I, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi, 110024",28.56777105,77.24164608703057
Hazrat Nizamuddin Police Station,"Lodhi Rd, Near Sabz Burj, Nizamuddin, Nizamuddin West, New Delhi, Delhi, 110013",28.6138954,77.2090057
Jamia Nagar Police Station,"Kalindi Kunj Rd, near Okhla Head Bridge, near Metro Station, Jamia Nagar, Okhla, New Delhi, Delhi, 110025",28.55451385,77.26467720829228
Okhla Industrial Estate Police Station,"Indian Nusring Council, Ma Anandmayee Marg, Pocket A, Okhla I, Okhla Industrial Area, New Delhi, Delhi, 110020",28.6138954,77.2090057
New Friends Colony Police Station,"Block A, Friends Colony East, New Friends Colony, New Delhi, Delhi, 110025",28.6138954,77.2090057
Jait Pur Police Station,"Jaitpur Rd, Hari Nagar Extn, Hari Nagar, Molarband, New Delhi, 110044",28.6138954,77.2090057
Shaheen Bagh Police Station,"Thokar No-6, Allama Shibli Nomani Road, Shaheen Bagh, Abul Fazal Enclave, Jamia Nagar, Jasola, New Delhi, Delhi, 110025",28.6138954,77.2090057
Kalindi Kunj Police Station,"Veer Vijay Singh Pathik Marg, D Block, Madanpur Khadar, New Delhi, Delhi, 110044",28.6138954,77.2090057
